room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7072371,18063509,Entire home/apt,,Olivais,43,4.5,5,2.0,46.0,2.0,38.767697,-9.10935,2016-09-12 18:44:04.037889
1373231,2781047,Entire home/apt,,São Vicente,135,4.5,5,3.0,69.0,2.0,38.713329,-9.129759,2016-09-12 18:43:44.362133
13949614,34255375,Entire home/apt,,Arroios,6,5.0,2,2.0,49.0,,38.731873,-9.132641,2016-09-12 18:43:40.625118
14934910,93835189,Private room,,Misericórdia,1,,2,1.0,41.0,1.0,38.7097,-9.151146,2016-09-12 18:43:28.934759
3094750,8173357,Private room,,São Vicente,9,4.5,2,1.0,26.0,5.0,38.719604,-9.13002,2016-09-12 18:43:26.165339
4518926,6319121,Entire home/apt,,Misericórdia,1,,6,2.0,74.0,2.0,38.711309,-9.151082,2016-09-12 18:43:04.010059
7628713,10452300,Private room,,São Vicente,0,,1,1.0,29.0,1.0,38.716122,-9.127745,2016-09-12 18:42:59.245961
7836518,14482686,Shared room,,Penha de França,22,4.5,8,1.0,18.0,1.0,38.726709,-9.117692,2016-09-12 18:42:39.977423
13711086,52570650,Entire home/apt,,Arroios,2,,7,2.0,91.0,2.0,38.733519,-9.144358,2016-09-12 18:41:35.931443
860484,1767259,Entire home/apt,,Misericórdia,156,5.0,3,1.0,46.0,,38.712064,-9.150795,2016-09-12 18:41:34.097292
11447666,60183763,Entire home/apt,,Misericórdia,13,5.0,4,1.0,70.0,3.0,38.711623,-9.153358,2016-09-12 18:41:31.651072
13062193,20893300,Entire home/apt,,Campolide,1,,4,1.0,69.0,4.0,38.728388,-9.164222,2016-09-12 18:41:24.091107
8503593,44777441,Entire home/apt,,Avenidas Novas,0,,6,2.0,96.0,2.0,38.736324,-9.150295,2016-09-12 18:41:10.502616
6716458,13115678,Entire home/apt,,Misericórdia,85,4.5,6,3.0,55.0,1.0,38.710353,-9.146711,2016-09-12 18:40:57.407415
14372309,50098945,Entire home/apt,,Lumiar,3,4.0,2,1.0,13.0,1.0,38.774773,-9.159814,2016-09-12 18:40:55.040922
5431759,21324473,Entire home/apt,,Misericórdia,36,4.5,4,1.0,64.0,3.0,38.711707,-9.144149,2016-09-12 18:40:52.288579
2000393,8116715,Entire home/apt,,Santa Maria Maior,32,4.5,6,3.0,58.0,1.0,38.712131,-9.14097,2016-09-12 18:40:48.013537
4523851,23450558,Entire home/apt,,Santa Maria Maior,28,5.0,2,1.0,115.0,3.0,38.714143,-9.140888,2016-09-12 18:40:31.042920
5060189,15814568,Entire home/apt,,Misericórdia,2,,3,1.0,88.0,2.0,38.714466,-9.145689,2016-09-12 18:40:08.688559
6100201,12417299,Private room,,Marvila,5,4.5,2,1.0,45.0,2.0,38.748781,-9.118851,2016-09-12 18:40:02.457453
3020407,15390796,Entire home/apt,,Penha de França,0,,4,2.0,752.0,1.0,38.723562,-9.130917,2016-09-12 18:39:56.092214
9275219,130211,Entire home/apt,,Estrela,16,4.5,2,0.0,44.0,2.0,38.706258,-9.157446,2016-09-12 18:39:54.466444
13201517,73826302,Private room,,Arroios,18,4.5,2,1.0,23.0,1.0,38.728684,-9.140634,2016-09-12 18:39:51.872039
15006427,17733765,Entire home/apt,,Misericórdia,0,,2,1.0,69.0,2.0,38.713645,-9.146042,2016-09-12 18:39:50.628892
2981682,15137055,Entire home/apt,,Santa Maria Maior,16,4.5,9,3.0,104.0,2.0,38.718859,-9.136285,2016-09-12 18:39:33.832377
7926187,4141894,Entire home/apt,,Santa Maria Maior,23,4.5,4,1.0,57.0,2.0,38.714427,-9.131212,2016-09-12 18:39:21.013958
10548998,8759681,Private room,,Alcântara,4,4.5,2,1.0,44.0,1.0,38.70513,-9.177333,2016-09-12 18:39:14.402997
