room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4022447,7146174,Entire home/apt,,Misericórdia,3,3.5,,5.0,289.0,,38.713924,-9.145801,2016-03-21 00:28:12.651346
4513859,23404920,Private room,,Arroios,0,,2.0,1.0,110.0,1.0,38.721659,-9.136976,2016-03-21 00:28:06.282369
6892532,28809298,Entire home/apt,,Arroios,5,3.5,2.0,1.0,26.0,4.0,38.734232,-9.138272,2016-03-21 00:27:41.701389
4883852,6385306,Entire home/apt,,Penha de França,5,4.5,5.0,2.0,46.0,3.0,38.726422,-9.127816,2016-03-21 00:27:36.370752
1001359,5506810,Entire home/apt,,Campo de Ourique,1,5.0,3.0,1.0,81.0,7.0,38.717794,-9.165323,2016-03-21 00:27:16.799333
3472760,17494308,Entire home/apt,,Arroios,39,4.5,4.0,1.0,53.0,3.0,38.724239,-9.137338,2016-03-21 00:26:54.094838
10769398,37919825,Entire home/apt,,Misericórdia,0,,2.0,1.0,45.0,3.0,38.711299,-9.145258,2016-03-21 00:26:47.910306
6638862,3244631,Private room,,Penha de França,0,,2.0,1.0,34.0,2.0,38.73633,-9.128833,2016-03-21 00:26:44.985872
5449160,14759215,Entire home/apt,,Estrela,17,4.5,3.0,1.0,47.0,2.0,38.70968,-9.155037,2016-03-21 00:26:41.292309
5957511,24981397,Entire home/apt,,Misericórdia,37,4.0,,2.0,40.0,1.0,38.711164,-9.149235,2016-03-21 00:26:34.659023
3594639,18109908,Entire home/apt,,Belém,5,4.5,4.0,1.0,80.0,2.0,38.695044,-9.213176,2016-03-21 00:26:31.812133
795692,4191238,Entire home/apt,,Santa Maria Maior,15,4.5,,1.0,81.0,3.0,38.710361,-9.127808,2016-03-21 00:26:26.624414
1483243,7935318,Entire home/apt,,Santo António,159,4.5,,2.0,37.0,2.0,38.721226,-9.144504,2016-03-21 00:26:15.354991
4747812,3534441,Entire home/apt,,Santo António,48,5.0,2.0,1.0,58.0,3.0,38.716025,-9.151076,2016-03-21 00:26:10.788878
3455994,9827661,Entire home/apt,,Santa Maria Maior,16,4.5,4.0,1.0,58.0,2.0,38.719158,-9.134689,2016-03-21 00:26:07.722457
7089756,5151549,Private room,,Arroios,27,4.5,2.0,1.0,23.0,2.0,38.734019,-9.140099,2016-03-21 00:26:05.480878
3937652,19455234,Entire home/apt,,Santa Maria Maior,21,4.0,3.0,1.0,40.0,3.0,38.710172,-9.130488,2016-03-21 00:25:50.881679
2307654,3692657,Entire home/apt,,Misericórdia,80,4.5,4.0,1.0,41.0,2.0,38.709171,-9.146895,2016-03-21 00:25:44.092395
4222105,4717114,Entire home/apt,,Santa Maria Maior,11,4.0,,3.0,69.0,3.0,38.711673,-9.129901,2016-03-21 00:25:40.875213
9748428,38606371,Private room,,Arroios,0,,3.0,1.0,20.0,1.0,38.727562,-9.132641,2016-03-21 00:25:31.406918
4021592,15888271,Private room,,Santo António,0,,3.0,1.0,40.0,1.0,38.718919,-9.150116,2016-03-21 00:25:15.152228
493438,2437658,Entire home/apt,,Arroios,1,,4.0,2.0,58.0,2.0,38.732378,-9.132671,2016-03-21 00:25:12.841576
6157472,23669424,Entire home/apt,,Parque das Nações,10,5.0,3.0,1.0,92.0,,38.776572,-9.096738,2016-03-21 00:25:10.596743
3230687,16350674,Entire home/apt,,Avenidas Novas,56,4.5,4.0,1.0,69.0,2.0,38.728638,-9.149257,2016-03-21 00:25:00.567456
262251,1375871,Private room,,Avenidas Novas,0,,1.0,1.0,75.0,1.0,38.746205,-9.15094,2016-03-21 00:24:56.781771
2958660,15100715,Private room,,Lumiar,4,4.5,1.0,1.0,24.0,3.0,38.761999,-9.169403,2016-03-21 00:24:52.483666
2853410,798869,Entire home/apt,,Misericórdia,14,4.5,,2.0,94.0,,38.71267,-9.150569,2016-03-21 00:24:32.350160
8263411,11523797,Private room,,Misericórdia,3,4.5,1.0,1.0,29.0,1.0,38.709836,-9.149646,2016-03-21 00:24:15.225254
3424214,5376796,Entire home/apt,,Santa Maria Maior,69,4.5,3.0,1.0,54.0,2.0,38.712118,-9.127079,2016-03-21 00:24:11.439638
3086039,15702462,Entire home/apt,,Santa Maria Maior,124,4.5,3.0,1.0,53.0,,38.716348,-9.1339,2016-03-21 00:24:08.599434
7274353,5631855,Entire home/apt,,Campo de Ourique,5,5.0,5.0,2.0,45.0,2.0,38.712736,-9.173561,2016-03-21 00:23:58.388771
5249936,20962560,Private room,,São Vicente,15,5.0,1.0,1.0,24.0,2.0,38.719359,-9.130625,2016-03-21 00:23:55.070938
7861447,29509561,Entire home/apt,,Arroios,1,4.0,4.0,2.0,93.0,2.0,38.725602,-9.135019,2016-03-21 00:23:49.535211
8845265,46320578,Entire home/apt,,São Vicente,7,4.5,4.0,2.0,55.0,3.0,38.718054,-9.126923,2016-03-21 00:23:45.714281
5193480,26864642,Entire home/apt,,Avenidas Novas,60,4.5,3.0,1.0,40.0,1.0,38.734869,-9.151047,2016-03-21 00:23:42.715109
1144893,6277622,Entire home/apt,,São Vicente,13,4.0,5.0,1.0,70.0,3.0,38.713757,-9.127451,2016-03-21 00:23:25.835772
4934966,25425636,Entire home/apt,,Arroios,61,4.5,4.0,1.0,45.0,2.0,38.721367,-9.135315,2016-03-21 00:23:09.043067
5692815,1554338,Entire home/apt,,Misericórdia,12,5.0,,2.0,116.0,1.0,38.715045,-9.150034,2016-03-21 00:23:05.493103
4901468,14227941,Private room,,Arroios,0,,3.0,1.0,45.0,1.0,38.726088,-9.135425,2016-03-21 00:22:59.450417
2181236,4827358,Private room,,Campo de Ourique,1,4.0,2.0,1.0,37.0,1.0,38.719549,-9.156595,2016-03-21 00:22:43.076337
3321789,4840286,Entire home/apt,,Lumiar,1,,4.0,1.0,99.0,3.0,38.766631,-9.15442,2016-03-21 00:22:33.500520
9983487,3953109,Entire home/apt,,Avenidas Novas,1,4.0,4.0,2.0,80.0,3.0,38.735826,-9.144883,2016-03-21 00:22:24.700402
5292309,18983132,Private room,,Alvalade,39,5.0,2.0,1.0,29.0,2.0,38.75989,-9.137479,2016-03-21 00:22:19.839186
5443495,13132921,Entire home/apt,,Alvalade,12,4.5,,3.0,99.0,5.0,38.748227,-9.14143,2016-03-21 00:22:16.711341
3376148,17032883,Private room,,Misericórdia,3,5.0,2.0,1.0,46.0,1.0,38.708836,-9.144631,2016-03-21 00:22:10.102820
10810113,55964711,Entire home/apt,,Arroios,0,,4.0,1.0,75.0,2.0,38.729198,-9.145256,2016-03-21 00:21:46.392542
3302450,12444021,Private room,,Arroios,22,5.0,1.0,1.0,28.0,3.0,38.722231,-9.139771,2016-03-21 00:21:44.344284
2458174,4817790,Entire home/apt,,Santa Maria Maior,31,5.0,2.0,1.0,68.0,2.0,38.71493,-9.13571,2016-03-21 00:21:41.073382
3948260,17067821,Entire home/apt,,Santa Maria Maior,24,4.5,4.0,1.0,76.0,3.0,38.711983,-9.137846,2016-03-21 00:21:35.708753
2172693,181902,Entire home/apt,,Santa Maria Maior,14,4.5,,3.0,173.0,1.0,38.712498,-9.138661,2016-03-21 00:21:29.798916
3195983,16198798,Private room,,Lumiar,52,5.0,2.0,1.0,23.0,1.0,38.757546,-9.168461,2016-03-21 00:21:26.761579
867622,2218206,Private room,,Avenidas Novas,26,5.0,2.0,1.0,70.0,3.0,38.739856,-9.154215,2016-03-21 00:21:21.217246
1035321,743167,Entire home/apt,,Santa Maria Maior,48,4.0,2.0,0.0,61.0,4.0,38.712402,-9.129001,2016-03-21 00:21:15.342609
2690624,688914,Entire home/apt,,Misericórdia,16,4.5,4.0,2.0,84.0,2.0,38.711878,-9.143655,2016-03-21 00:21:12.886198
9710431,22036235,Entire home/apt,,Misericórdia,1,,4.0,1.0,58.0,2.0,38.712258,-9.145272,2016-03-21 00:20:56.621976
1376997,7459841,Private room,,Misericórdia,95,4.5,4.0,1.0,40.0,1.0,38.709882,-9.144032,2016-03-21 00:20:49.646949
582178,2803281,Entire home/apt,,Arroios,0,,2.0,1.0,75.0,2.0,38.734438,-9.132153,2016-03-21 00:20:29.394838
770558,2376037,Private room,,Santo António,3,4.5,,1.0,53.0,2.0,38.715991,-9.146073,2016-03-21 00:20:26.861846
3321711,16771319,Entire home/apt,,Benfica,0,,5.0,3.0,94.0,1.0,38.753331,-9.195659,2016-03-21 00:20:24.450902
9499629,4827358,Entire home/apt,,Campo de Ourique,0,,3.0,1.0,39.0,1.0,38.717832,-9.155565,2016-03-21 00:20:20.801101
2931403,2383059,Entire home/apt,,Misericórdia,81,4.5,,2.0,62.0,2.0,38.712646,-9.145337,2016-03-21 00:20:17.752694
2278844,3654081,Entire home/apt,,Misericórdia,66,4.5,4.0,2.0,128.0,4.0,38.713458,-9.1483,2016-03-21 00:20:05.684267
11354804,31265397,Entire home/apt,,Arroios,0,,,3.0,116.0,2.0,38.731209,-9.143033,2016-03-21 00:19:57.411195
540190,1788136,Entire home/apt,,Arroios,63,4.5,3.0,1.0,97.0,2.0,38.720349,-9.133771,2016-03-21 00:19:52.960776
10588106,54624969,Entire home/apt,,Santa Maria Maior,0,,5.0,2.0,81.0,1.0,38.716257,-9.134698,2016-03-21 00:19:50.577140
5509602,21501633,Entire home/apt,,Belém,44,5.0,5.0,2.0,70.0,2.0,38.696804,-9.219367,2016-03-21 00:19:21.016314
3938206,11926451,Private room,,Belém,30,4.5,1.0,1.0,18.0,2.0,38.697914,-9.202702,2016-03-21 00:19:08.689483
2148808,10966839,Entire home/apt,,Santa Maria Maior,37,4.5,4.0,2.0,70.0,3.0,38.712577,-9.135759,2016-03-21 00:18:50.328472
2964273,15125584,Entire home/apt,,Misericórdia,2,5.0,2.0,1.0,147.0,1.0,38.713621,-9.146726,2016-03-21 00:18:44.757731
1062064,5845991,Private room,,Penha de França,19,4.5,2.0,1.0,40.0,4.0,38.735095,-9.130359,2016-03-21 00:18:41.672369
6291044,32707557,Entire home/apt,,Misericórdia,4,4.5,,3.0,163.0,1.0,38.710054,-9.145979,2016-03-21 00:18:27.854877
4489093,3812695,Private room,,Santa Maria Maior,31,5.0,2.0,1.0,34.0,1.0,38.711037,-9.132343,2016-03-21 00:18:24.357201
5915659,19245334,Entire home/apt,,Misericórdia,23,4.5,4.0,2.0,58.0,2.0,38.711591,-9.143804,2016-03-21 00:18:12.835158
1045411,5238752,Private room,,Avenidas Novas,0,,2.0,1.0,83.0,1.0,38.741466,-9.144011,2016-03-21 00:18:09.590601
3808796,19573497,Private room,,Arroios,9,5.0,2.0,1.0,31.0,2.0,38.721099,-9.133898,2016-03-21 00:18:03.502743
3682705,8694270,Private room,,Estrela,22,5.0,2.0,1.0,20.0,2.0,38.710523,-9.154878,2016-03-21 00:17:58.360366
10880461,18442418,Entire home/apt,,Misericórdia,0,,3.0,1.0,58.0,5.0,38.714882,-9.145492,2016-03-21 00:17:56.186022
3478534,9827661,Entire home/apt,,Santa Maria Maior,22,4.0,2.0,0.0,32.0,5.0,38.710367,-9.132322,2016-03-21 00:17:50.325753
8180702,6503273,Entire home/apt,,Estrela,5,4.0,3.0,1.0,41.0,,38.704805,-9.163747,2016-03-21 00:17:47.763463
4418164,22532037,Entire home/apt,,Santo António,33,4.0,4.0,1.0,40.0,2.0,38.717934,-9.147105,2016-03-21 00:17:42.738111
5075706,1886436,Entire home/apt,,São Vicente,33,5.0,5.0,3.0,88.0,3.0,38.719666,-9.131151,2016-03-21 00:17:36.550963
3993313,18059006,Entire home/apt,,Areeiro,6,4.5,4.0,2.0,57.0,3.0,38.738682,-9.129873,2016-03-21 00:17:34.257501
8170878,43122479,Entire home/apt,,Misericórdia,20,4.5,4.0,1.0,50.0,2.0,38.712975,-9.143577,2016-03-21 00:17:27.135488
6583176,717179,Entire home/apt,,Santo António,6,3.5,4.0,1.0,53.0,2.0,38.725488,-9.146128,2016-03-21 00:17:17.129038
8665424,41242396,Private room,,São Vicente,3,3.5,2.0,1.0,24.0,1.0,38.71989,-9.130959,2016-03-21 00:17:14.666530
6323972,23663767,Private room,,Arroios,4,4.5,1.0,1.0,40.0,1.0,38.726553,-9.138319,2016-03-21 00:00:12.045620
3086649,3108083,Private room,,Santo António,19,4.0,3.0,1.0,18.0,1.0,38.723139,-9.152275,2016-03-21 00:00:06.498137
11131516,10550381,Entire home/apt,,São Vicente,0,,3.0,1.0,40.0,2.0,38.717026,-9.12443,2016-03-20 23:59:58.128646
645500,2358059,Entire home/apt,,Belém,9,4.0,3.0,2.0,53.0,2.0,38.701152,-9.201747,2016-03-20 23:59:45.859870
11155622,27012059,Entire home/apt,,Misericórdia,2,4.5,2.0,0.0,35.0,1.0,38.71268,-9.144477,2016-03-20 23:59:42.620341
717540,3699511,Entire home/apt,,Misericórdia,102,4.5,4.0,2.0,69.0,3.0,38.71321,-9.144807,2016-03-20 23:59:36.812942
1803927,9456814,Entire home/apt,,Belém,0,,,3.0,174.0,1.0,38.695151,-9.206331,2016-03-20 23:59:29.218156
11165405,29202743,Entire home/apt,,Parque das Nações,0,,3.0,1.0,102.0,3.0,38.776593,-9.097306,2016-03-20 23:59:26.140308
3002516,15302974,Private room,,São Domingos de Benfica,0,,3.0,1.0,929.0,1.0,38.741599,-9.173977,2016-03-20 23:59:20.743980
2561844,7146174,Entire home/apt,,Santa Maria Maior,6,4.5,,3.0,99.0,3.0,38.710959,-9.131951,2016-03-20 23:59:11.130609
1675398,8866075,Entire home/apt,,São Vicente,53,4.5,,3.0,116.0,2.0,38.713958,-9.13049,2016-03-20 23:58:50.727863
3738052,19103097,Entire home/apt,,Santo António,66,4.5,,10.0,11.0,1.0,38.725493,-9.144496,2016-03-20 23:58:46.892971
1455589,7582930,Private room,,Santa Maria Maior,2,4.5,2.0,1.0,18.0,1.0,38.714928,-9.141517,2016-03-20 23:58:44.542675
794333,4184976,Entire home/apt,,Misericórdia,86,4.5,,2.0,150.0,2.0,38.713353,-9.145717,2016-03-20 23:58:38.557308
7029249,9505880,Entire home/apt,,Arroios,1,4.0,5.0,2.0,75.0,2.0,38.724374,-9.133341,2016-03-20 23:58:35.213489
7759514,40800733,Entire home/apt,,Arroios,3,4.5,2.0,1.0,75.0,3.0,38.719566,-9.137024,2016-03-20 23:58:20.613339
5517012,20791560,Entire home/apt,,Misericórdia,41,4.5,4.0,2.0,46.0,2.0,38.711245,-9.151516,2016-03-20 23:58:17.478248
9343300,25455459,Entire home/apt,,Penha de França,0,,4.0,2.0,88.0,3.0,38.725969,-9.127473,2016-03-20 23:58:04.015485
2984563,15219584,Private room,,Avenidas Novas,0,,2.0,1.0,870.0,1.0,38.728916,-9.158756,2016-03-20 23:57:36.388199
9763624,37758551,Entire home/apt,,Santa Maria Maior,0,,4.0,1.0,81.0,2.0,38.716009,-9.139708,2016-03-20 23:57:29.826952
3858069,19455234,Entire home/apt,,Misericórdia,35,4.5,4.0,2.0,46.0,3.0,38.71185,-9.143467,2016-03-20 23:57:22.346838
3680761,14759215,Entire home/apt,,Santo António,47,5.0,3.0,1.0,58.0,2.0,38.724202,-9.148569,2016-03-20 23:56:50.272205
2376711,11481927,Shared room,,São Vicente,2,4.0,1.0,1.0,28.0,1.0,38.713841,-9.130053,2016-03-20 23:56:46.758267
5235888,24485176,Entire home/apt,,Santa Maria Maior,49,4.5,4.0,1.0,49.0,3.0,38.711966,-9.133432,2016-03-20 23:56:44.585428
4182572,4378227,Entire home/apt,,Santa Maria Maior,5,4.0,4.0,1.0,64.0,5.0,38.711301,-9.128836,2016-03-20 23:56:32.509188
2294421,5579529,Entire home/apt,,Estrela,11,4.0,,2.0,28.0,3.0,38.708481,-9.173495,2016-03-20 23:56:24.325319
1775186,8527659,Entire home/apt,,Santa Maria Maior,77,5.0,2.0,1.0,52.0,3.0,38.711996,-9.128503,2016-03-20 23:56:22.139719
4222474,21913668,Entire home/apt,,Misericórdia,59,5.0,4.0,2.0,59.0,,38.715473,-9.154221,2016-03-20 23:56:15.119145
5273507,27299841,Entire home/apt,,São Vicente,3,4.0,4.0,1.0,46.0,3.0,38.718638,-9.128246,2016-03-20 23:56:11.215936
6119180,10496154,Entire home/apt,,Penha de França,25,5.0,4.0,1.0,58.0,3.0,38.723497,-9.130929,2016-03-20 23:56:09.301569
3074112,1312785,Entire home/apt,,Santa Maria Maior,1,5.0,2.0,0.0,69.0,3.0,38.715524,-9.139877,2016-03-20 23:56:06.336276
7335554,2976200,Entire home/apt,,Avenidas Novas,10,4.5,4.0,2.0,79.0,3.0,38.735045,-9.15094,2016-03-20 23:55:50.669034
3794249,19484653,Entire home/apt,,Santa Maria Maior,6,4.0,4.0,2.0,58.0,3.0,38.718059,-9.134194,2016-03-20 23:55:41.540792
2710194,520897,Entire home/apt,,Santo António,2,4.0,,1.0,64.0,2.0,38.717697,-9.145957,2016-03-20 23:55:33.130665
2622025,146695,Entire home/apt,,São Vicente,25,4.5,2.0,0.0,46.0,3.0,38.71396,-9.12978,2016-03-20 23:55:28.968436
5282842,27350689,Entire home/apt,,Beato,26,5.0,4.0,2.0,68.0,2.0,38.735863,-9.121591,2016-03-20 23:55:26.996742
4398352,3953109,Entire home/apt,,Santo António,1,4.0,,4.0,185.0,3.0,38.717514,-9.154518,2016-03-20 23:55:19.407568
2000393,8116715,Entire home/apt,,Santa Maria Maior,20,4.5,,3.0,58.0,1.0,38.712131,-9.14097,2016-03-20 23:55:13.613456
2872009,3083466,Entire home/apt,,Misericórdia,1,5.0,,2.0,70.0,2.0,38.715246,-9.151574,2016-03-20 23:55:10.708453
3845445,19822071,Entire home/apt,,Misericórdia,5,5.0,4.0,2.0,93.0,3.0,38.710738,-9.14921,2016-03-20 23:55:08.603528
3508177,3606199,Entire home/apt,,Campo de Ourique,31,4.5,4.0,1.0,70.0,2.0,38.715611,-9.15545,2016-03-20 23:55:05.326781
11816602,776635,Entire home/apt,,Belém,0,,,3.0,139.0,3.0,38.702991,-9.203489,2016-03-20 23:55:02.891232
7448536,15180709,Entire home/apt,,Misericórdia,13,4.5,4.0,1.0,35.0,2.0,38.710477,-9.15019,2016-03-20 23:54:54.056378
5386071,4647743,Entire home/apt,,Arroios,41,4.5,4.0,1.0,39.0,2.0,38.720688,-9.134077,2016-03-20 23:54:50.663026
11903436,11707167,Entire home/apt,,Arroios,0,,4.0,1.0,70.0,2.0,38.726845,-9.142385,2016-03-20 23:54:37.011198
4995968,24706653,Entire home/apt,,Misericórdia,23,4.5,4.0,1.0,80.0,2.0,38.715395,-9.153275,2016-03-20 23:54:20.794012
34783,149980,Private room,,Estrela,0,,1.0,1.0,54.0,1.0,38.711302,-9.159902,2016-03-20 23:54:17.968170
4309603,22369649,Entire home/apt,,Santa Maria Maior,54,5.0,3.0,1.0,43.0,3.0,38.712963,-9.128242,2016-03-20 23:54:15.688749
7695935,40420284,Private room,,Avenidas Novas,2,4.5,2.0,1.0,29.0,2.0,38.743541,-9.153515,2016-03-20 23:54:12.676632
3056812,5623430,Entire home/apt,,Areeiro,15,4.5,5.0,3.0,94.0,3.0,38.736514,-9.141412,2016-03-20 23:53:59.545114
8905437,19905749,Entire home/apt,,Misericórdia,12,5.0,3.0,0.0,46.0,2.0,38.710107,-9.15023,2016-03-20 23:53:40.776943
2733756,3953109,Entire home/apt,,Penha de França,2,4.0,2.0,1.0,46.0,4.0,38.733231,-9.129088,2016-03-20 23:53:38.408838
4935236,3654081,Entire home/apt,,Misericórdia,32,4.5,2.0,1.0,58.0,3.0,38.714752,-9.151225,2016-03-20 23:53:31.527246
11490297,19759442,Private room,,Arroios,0,,2.0,1.0,18.0,1.0,38.720332,-9.133053,2016-03-20 23:53:25.126791
2173680,3594221,Private room,,Arroios,52,4.5,2.0,1.0,35.0,2.0,38.723853,-9.133338,2016-03-20 23:53:01.718519
5837277,30100144,Entire home/apt,,Arroios,13,4.5,,4.0,209.0,2.0,38.725058,-9.134266,2016-03-20 23:52:54.989921
6929346,3408236,Entire home/apt,,São Vicente,1,4.0,4.0,1.0,46.0,2.0,38.721778,-9.121558,2016-03-20 23:52:42.296329
3020407,15390796,Entire home/apt,,Arroios,0,,4.0,2.0,755.0,1.0,38.722183,-9.131678,2016-03-20 23:52:34.975441
4854112,24937730,Entire home/apt,,São Vicente,0,,4.0,2.0,75.0,3.0,38.718339,-9.128365,2016-03-20 23:52:26.021215
3591437,8901536,Entire home/apt,,Avenidas Novas,12,5.0,4.0,2.0,81.0,3.0,38.735265,-9.143876,2016-03-20 23:52:14.706427
5995561,2764994,Entire home/apt,,Penha de França,6,5.0,4.0,2.0,70.0,2.0,38.730937,-9.130544,2016-03-20 23:52:08.754810
3628666,8173357,Private room,,São Vicente,5,4.5,1.0,1.0,20.0,4.0,38.719507,-9.13028,2016-03-20 23:52:01.009504
