room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18344000,1148,107813252,Shared room,,Lisbon,,Areeiro,0,,1,1.0,,14.0,,Beautiful room near downtown Lisbon 1,2017-04-27 19:04:30.176860,38.739531,-9.13077,0101000020E610000089981249F44222C068B0A9F3A85E4340
14825049,1148,58856345,Shared room,,Lisbon,,Arroios,0,,1,1.0,,28.0,,Quarto do Castelo São Jorge,2017-04-27 19:04:30.186349,38.732779,-9.134539,0101000020E6100000B612BA4BE24422C00919C8B3CB5D4340
18424299,1148,127681347,Shared room,,Lisbon,,Santa Maria Maior,0,,1,1.0,,23.0,,Hostel do Castelo,2017-04-27 19:04:30.191270,38.713818,-9.132423,0101000020E6100000F6798CF2CC4322C0E8A562635E5B4340
17497074,1148,25913998,Shared room,,Lisbon,,Arroios,1,,1,1.0,,15.0,,ROOM GANI Bairro Alto One,2017-04-27 19:04:30.194250,38.725201,-9.134477,0101000020E6100000DE205A2BDA4422C06403E962D35C4340
18356014,1148,118409410,Shared room,,Lisbon,,Santa Maria Maior,0,,3,1.0,,34.0,,lisbon knock,2017-04-27 19:04:30.201747,38.718885,-9.134688,0101000020E6100000CA5356D3F54422C0E04A766C045C4340
8513276,1148,6855202,Shared room,,Lisbon,,Santo António,2,,1,1.0,,23.0,,Bed in a 6 mixed dorm shared wc,2017-04-27 19:04:31.848095,38.723344,-9.146837,0101000020E61000007DAF21382E4B22C000E14389965C4340
17785107,1148,103885214,Shared room,,Lisbon,,Santa Maria Maior,1,,1,1.0,,22.0,,Lisboa Tu & Eu Hostel - IV,2017-04-27 19:04:31.852613,38.709704,-9.133505,0101000020E610000078B471C45A4422C092EBA694D75A4340
15442847,1148,99041816,Shared room,,Lisbon,,Misericórdia,2,,12,1.0,,16.0,,Surf'in Chiado,2017-04-27 19:04:31.865019,38.711557,-9.143356,0101000020E6100000EA5E27F5654922C0B41EBE4C145B4340
13238110,1148,74013803,Shared room,,Lisbon,,Arroios,0,,4,1.0,,39.0,,Economy Quadruple Room,2017-04-27 19:04:31.880551,38.735025,-9.135242,0101000020E61000005D177E703E4522C0075F984C155E4340
18154042,1148,124601372,Shared room,,Lisbon,,Avenidas Novas,0,,6,1.0,,11.0,,Brother`s Hostel,2017-04-27 19:04:33.588502,38.727408,-9.14877,0101000020E61000007940D9942B4C22C0A46C91B41B5D4340
