room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
5803348,1079,29676067,Shared room,,Lisbon,,Misericórdia,19,5.0,9,1.0,,19.0,,Bunk with a view at Lookout Lisbon! Hostel,2017-04-18 11:31:04.253220,38.713961,-9.144652,0101000020E61000001C9AB2D30F4A22C04ACFF412635B4340
5823046,1079,29676067,Shared room,,Lisbon,,Misericórdia,35,4.5,12,1.0,,14.0,,The perfect backpacker 12 bed dorm,2017-04-18 11:31:04.248960,38.713585,-9.145194,0101000020E61000009E2633DE564A22C045F5D6C0565B4340
5803577,1079,29676067,Shared room,,Lisbon,,Misericórdia,27,5.0,6,1.0,,20.0,,Cosy room in Bairro Alto w/ 6 beds,2017-04-18 11:31:04.239434,38.715215,-9.144037,0101000020E6100000F2D3B837BF4922C0E84D452A8C5B4340
5803849,1079,24225052,Shared room,,Lisbon,,Areeiro,1,0.0,4,1.0,,41.0,,Shared Room / € Per person /4 Beds,2017-04-18 11:30:52.949781,38.738725,-9.129227,0101000020E61000003885950A2A4222C06ADE718A8E5E4340
10190802,1079,50201187,Shared room,,Lisbon,,São Vicente,15,4.0,3,1.0,,38.0,,Lovely apartment near Alfama,2017-04-18 11:30:48.407324,38.714694,-9.123028,0101000020E61000000DFCA886FD3E22C0DF52CE177B5B4340
7722075,1079,40574313,Shared room,,Lisbon,,Avenidas Novas,1,0.0,4,1.0,,41.0,,Lisbon Forever Hostel 4 beds dorm (Breakfast),2017-04-18 11:30:46.929837,38.730963,-9.152093,0101000020E6100000ACE63922DF4D22C004CB1132905D4340
5724415,1079,29676067,Shared room,,Lisbon,,Misericórdia,28,4.5,9,1.0,,19.0,,Bunk bed with a view,2017-04-18 11:30:46.912832,38.714827,-9.144491,0101000020E6100000F7216FB9FA4922C01EA67D737F5B4340
3123304,1079,8488955,Shared room,,Lisbon,,Arroios,0,0.0,2,1.0,,438.0,,quarto no centro de lisboa,2017-04-18 11:30:40.713375,38.721617,-9.136208,0101000020E61000003AE8120EBD4522C06B9E23F25D5C4340
2982735,1079,15212100,Shared room,,Lisbon,,Santa Clara,0,0.0,2,1.0,,329.0,,Alquila Quarto,2017-04-18 11:30:40.710809,38.779781,-9.145947,0101000020E61000000CE6AF90B94A22C0668522DDCF634340
3110303,1079,15806678,Shared room,,Lisbon,,Arroios,0,0.0,2,1.0,,438.0,,UEFA LISBOA,2017-04-18 11:30:40.708303,38.732262,-9.134285,0101000020E6100000CDAFE600C14422C0410DDFC2BA5D4340
