room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
5985572,1480,8203783,Shared room,,Lisbon,,Areeiro,3,4.5,1,1.0,,24.0,,Great room in cozy shared apartment,2017-07-28 01:19:42.647466,38.741473,-9.138143,0101000020E6100000B857E6ADBA4622C0FAEE5696E85E4340
5803849,1480,24225052,Shared room,,Lisbon,,Areeiro,1,0.0,4,1.0,,23.0,,Shared Room / € Per person /4 Beds,2017-07-28 01:19:41.557318,38.738725,-9.129227,0101000020E61000003885950A2A4222C06ADE718A8E5E4340
13128728,1480,49273694,Shared room,,Lisbon,,Alvalade,0,0.0,1,1.0,,12.0,,Lugar de garagem para arrendar!,2017-07-28 01:19:41.554506,38.75477,-9.167945,0101000020E6100000AE0D15E3FC5522C03F00A94D9C604340
16629098,1480,109582028,Shared room,,Lisbon,,Santa Maria Maior,0,0.0,4,1.0,,23.0,,Diamond Guesthouse 4 Bed Female only dormitory,2017-07-28 01:19:41.551777,38.719658,-9.135182,0101000020E610000008043A93364522C00327DBC01D5C4340
14825049,1480,58856345,Shared room,,Lisbon,,Arroios,0,0.0,1,1.0,,30.0,,Quarto do Castelo São Jorge,2017-07-28 01:19:41.549023,38.732779,-9.134539,0101000020E6100000B612BA4BE24422C00919C8B3CB5D4340
16875711,1480,112226564,Shared room,,Lisbon,,Olivais,15,4.0,1,1.0,,15.0,,#1 Comfortable Bed with Amazing Breakfast!,2017-07-28 01:19:41.546670,38.760964,-9.103965,0101000020E610000077DB85E63A3522C078B7B24467614340
290913,1480,1489229,Shared room,,Lisbon,,Campolide,11,4.5,3,1.0,,12.0,,Shared dorm /shared  appartment,2017-07-28 01:19:41.544544,38.729003,-9.166141,0101000020E6100000AA0CE36E105522C0CBD765F84F5D4340
16479504,1480,105922671,Shared room,,Lisbon,,Misericórdia,3,5.0,8,1.0,,27.0,,8 Bed Dorm in Lisbon's most social hostel,2017-07-28 01:19:41.542052,38.711117,-9.149266,0101000020E61000003ACFD8976C4C22C09850C1E1055B4340
11839136,1480,53320272,Shared room,,Lisbon,,Avenidas Novas,1,0.0,6,1.0,,18.0,,Swallow Hostel 15 sinta-se em casa!,2017-07-28 01:19:41.538601,38.733663,-9.149497,0101000020E610000042B3EBDE8A4C22C083A44FABE85D4340
11692742,1480,28812904,Shared room,,Lisbon,,Santa Maria Maior,2,0.0,1,1.0,,12.0,,Lisbon Cozy Flat - Bunk Beds 5,2017-07-28 01:19:41.535676,38.711958,-9.13677,0101000020E6100000D925AAB7064622C013109370215B4340
5392355,1480,5799522,Shared room,,Lisbon,,Santo António,0,0.0,6,1.0,,24.0,,6-bed female only room,2017-07-28 01:19:41.532750,38.722539,-9.144064,0101000020E6100000D80FB1C1C24922C0D28A6F287C5C4340
12262991,1480,6981742,Shared room,,Lisbon,,Alvalade,5,4.5,2,1.0,,38.0,,MiniRoom1 (in Dorm) Nesha Guesthouse Lisbon,2017-07-28 01:19:41.530540,38.745851,-9.135649,0101000020E6100000607825C9734522C02E58AA0B785F4340
16346614,1480,99226664,Shared room,,Lisbon,,Marvila,0,0.0,1,1.0,,18.0,,1 bed in 2 beds room. Lisbon red line metro.,2017-07-28 01:19:41.525391,38.755217,-9.113912,0101000020E6100000703E75AC523A22C00E315EF3AA604340
13570032,1480,78249982,Shared room,,Lisbon,,Misericórdia,8,5.0,10,1.0,,39.0,,Sunset Destination Hostel - Dormitories,2017-07-28 01:19:41.523178,38.70552,-9.14225,0101000020E610000046B6F3FDD44822C04356B77A4E5A4340
11814772,1480,53320272,Shared room,,Lisbon,,Avenidas Novas,0,0.0,4,1.0,,22.0,,Swallow Hostel 2 sinta se em casa,2017-07-28 01:19:41.520754,38.73324,-9.148487,0101000020E610000026C3F17C064C22C03D0FEECEDA5D4340
11838855,1480,53320272,Shared room,,Lisbon,,Avenidas Novas,0,0.0,6,1.0,,18.0,,Swallow Hostel 14 sinta-se em casa!,2017-07-28 01:19:41.510482,38.734156,-9.150111,0101000020E61000002B8A5759DB4C22C0C214E5D2F85D4340
16479635,1480,105922671,Shared room,,Lisbon,,Misericórdia,3,5.0,10,1.0,,24.0,,10 Bed Dorm in Lisbon's most social hostel,2017-07-28 01:19:41.507321,38.709847,-9.150418,0101000020E61000009F758D96034D22C0F5143944DC5A4340
14849748,1480,88769130,Shared room,,Lisbon,,Estrela,5,4.5,1,1.0,,18.0,,Beautiful Lisbon couch,2017-07-28 01:19:41.504294,38.71619,-9.161861,0101000020E6100000E7FEEA71DF5222C072DC291DAC5B4340
2376711,1480,11481927,Shared room,,Lisbon,,São Vicente,7,4.0,4,1.0,,32.0,,Alfama Patio Hostel - 4 Bed Dorm,2017-07-28 01:19:40.216308,38.713841,-9.130053,0101000020E61000004E7E8B4E964222C0A0C552245F5B4340
16389020,1480,105922671,Shared room,,Lisbon,,Misericórdia,0,0.0,6,1.0,,29.0,,6 Bed Dorm in Lisbon's most social hostel,2017-07-28 01:19:40.213098,38.708636,-9.149537,0101000020E61000007B15191D904C22C056629E95B45A4340
