room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14564464,53320828,Entire home/apt,,Misericórdia,0,0.0,6,3.0,170.0,,38.709178,-9.143704,2017-01-21 10:54:34.431947
13722555,80213089,Entire home/apt,,Santo António,3,4.5,7,3.0,165.0,,38.722409,-9.147844,2017-01-21 10:54:27.792613
2022380,10393306,Entire home/apt,,Santa Maria Maior,116,4.5,6,2.0,153.0,,38.710003,-9.135458,2017-01-21 10:54:22.580222
3530304,16994504,Entire home/apt,,Santa Maria Maior,0,0.0,4,2.0,132.0,,38.711827,-9.129642,2017-01-21 10:53:22.420418
10993019,57041091,Entire home/apt,,Misericórdia,3,3.5,5,2.0,135.0,,38.712254,-9.144952,2017-01-21 10:52:50.178822
13910080,82503666,Entire home/apt,,Parque das Nações,1,0.0,4,1.0,110.0,,38.781472,-9.098034,2017-01-21 10:50:52.259501
9084125,5039336,Entire home/apt,,Parque das Nações,1,0.0,6,2.0,105.0,,38.790624,-9.099737,2017-01-21 10:50:52.251445
460544,2174752,Entire home/apt,,Santa Maria Maior,14,3.5,3,1.0,89.0,,38.712072,-9.130241,2017-01-21 10:48:13.368155
7676667,5663484,Entire home/apt,,Parque das Nações,42,5.0,3,0.0,82.0,,38.773633,-9.097044,2017-01-21 10:47:22.751652
9713438,14309614,Entire home/apt,,Parque das Nações,8,5.0,4,1.0,99.0,,38.763104,-9.102514,2017-01-21 10:47:21.550592
11976649,1489164,Entire home/apt,,São Vicente,11,5.0,6,2.0,77.0,,38.714589,-9.126736,2017-01-21 10:45:12.974938
14478842,73057588,Entire home/apt,,Santa Maria Maior,2,0.0,4,2.0,66.0,,38.712149,-9.128697,2017-01-21 10:45:07.759417
12882690,52576840,Entire home/apt,,Olivais,5,4.5,6,2.0,69.0,,38.77041,-9.111541,2017-01-21 10:43:30.792654
2711947,7146174,Entire home/apt,,Parque das Nações,3,5.0,3,1.0,74.0,,38.779125,-9.095094,2017-01-21 10:43:28.176664
9932707,51054831,Entire home/apt,,Olivais,7,4.5,6,3.0,77.0,,38.775851,-9.112998,2017-01-21 10:43:26.851460
4182572,4378227,Entire home/apt,,Santa Maria Maior,8,3.5,3,1.0,61.0,,38.711301,-9.128836,2017-01-21 10:41:15.307828
16629505,19281238,Entire home/apt,,Santa Maria Maior,0,0.0,4,1.0,60.0,,38.711976,-9.129364,2017-01-21 10:41:15.305803
743320,3265925,Entire home/apt,,Santa Maria Maior,17,4.5,4,2.0,61.0,,38.711142,-9.13056,2017-01-21 10:41:15.293724
15390798,1756107,Entire home/apt,,Santa Maria Maior,0,0.0,4,1.0,57.0,,38.712472,-9.128413,2017-01-21 10:41:12.773014
1773997,3716977,Entire home/apt,,Santa Maria Maior,233,4.5,4,1.0,44.0,,38.711895,-9.129015,2017-01-21 10:41:11.990140
4480774,15262500,Entire home/apt,,Parque das Nações,38,4.5,4,1.0,53.0,,38.770896,-9.103198,2017-01-21 10:39:29.056820
12648845,33287282,Entire home/apt,,Parque das Nações,15,5.0,4,1.0,56.0,,38.782124,-9.095212,2017-01-21 10:39:25.549088
3079140,15011587,Entire home/apt,,São Domingos de Benfica,0,0.0,2,1.0,714.0,,38.744064,-9.174446,2017-01-21 10:38:41.775432
16712161,108442282,Entire home/apt,,Estrela,0,0.0,7,3.0,610.0,,38.705302,-9.160435,2017-01-21 10:38:40.937112
13216252,74118674,Entire home/apt,,Avenidas Novas,4,5.0,6,3.0,384.0,,38.734696,-9.150639,2017-01-21 10:38:30.802812
12870283,67452133,Entire home/apt,,Arroios,0,0.0,16,7.0,329.0,,38.731427,-9.136403,2017-01-21 10:38:30.798438
4238678,2372087,Entire home/apt,,São Vicente,5,4.5,16,6.0,330.0,,38.717069,-9.121344,2017-01-21 10:38:30.794351
14948683,750300,Entire home/apt,,Avenidas Novas,1,0.0,9,5.0,494.0,,38.734719,-9.149733,2017-01-21 10:38:30.784693
5728184,2681397,Entire home/apt,,Santo António,65,4.5,16,8.0,363.0,,38.72102,-9.15271,2017-01-21 10:38:30.782165
8189583,41445904,Entire home/apt,,Misericórdia,13,4.5,8,4.0,313.0,,38.706465,-9.143064,2017-01-21 10:38:30.779785
5208776,2396258,Entire home/apt,,Santa Maria Maior,14,4.5,16,5.0,515.0,,38.712248,-9.140724,2017-01-21 10:38:30.777374
3074354,15645483,Entire home/apt,,Ajuda,0,0.0,4,1.0,440.0,,38.707533,-9.189091,2017-01-21 10:38:29.571154
2955596,15085883,Entire home/apt,,Campo de Ourique,0,0.0,3,1.0,493.0,,38.718249,-9.161535,2017-01-21 10:38:29.567046
14922449,83774690,Entire home/apt,,Arroios,5,5.0,16,8.0,407.0,,38.72245,-9.139711,2017-01-21 10:38:27.347750
12847102,32344156,Entire home/apt,,Misericórdia,4,5.0,16,3.0,351.0,,38.714134,-9.150093,2017-01-21 10:38:27.336402
11491973,2681397,Entire home/apt,,Misericórdia,31,4.5,16,6.0,461.0,,38.714457,-9.145584,2017-01-21 10:38:27.324164
11883064,7956592,Entire home/apt,,Misericórdia,3,4.0,12,6.0,275.0,,38.710103,-9.145442,2017-01-21 10:38:25.117427
2973903,15170685,Entire home/apt,,Misericórdia,5,4.0,6,2.0,219.0,,38.715248,-9.150225,2017-01-21 10:38:25.105591
3922893,20321071,Entire home/apt,,Arroios,112,4.5,10,4.0,219.0,,38.720633,-9.138416,2017-01-21 10:38:25.102578
16347497,2476571,Entire home/apt,,Santa Maria Maior,0,0.0,16,4.0,275.0,,38.711464,-9.132206,2017-01-21 10:38:25.091724
7642297,2697345,Entire home/apt,,Santa Maria Maior,6,5.0,10,5.0,308.0,,38.710452,-9.136932,2017-01-21 10:38:24.065545
8712436,7956592,Entire home/apt,,Misericórdia,5,4.5,8,4.0,219.0,,38.710661,-9.148785,2017-01-21 10:38:24.061743
15593681,1526948,Entire home/apt,,Santa Maria Maior,0,0.0,6,3.0,242.0,,38.713262,-9.142029,2017-01-21 10:38:24.059486
12582187,68238292,Entire home/apt,,Misericórdia,1,0.0,6,3.0,219.0,,38.713475,-9.143988,2017-01-21 10:38:24.057396
10160338,52152340,Entire home/apt,,Arroios,0,0.0,6,2.0,264.0,,38.717215,-9.139657,2017-01-21 10:38:24.054821
2978698,15192960,Entire home/apt,,Alvalade,1,0.0,6,5.0,231.0,,38.749003,-9.138288,2017-01-21 10:38:24.046210
1635711,450479,Entire home/apt,,Santo António,13,4.5,8,3.0,275.0,,38.719329,-9.144478,2017-01-21 10:38:22.150961
450240,2174752,Entire home/apt,,Santa Maria Maior,6,4.5,9,4.0,264.0,,38.709296,-9.140196,2017-01-21 10:38:22.142333
2658180,2174752,Entire home/apt,,Santa Maria Maior,12,4.5,10,4.0,231.0,,38.709121,-9.137858,2017-01-21 10:38:22.139462
14351791,61966444,Entire home/apt,,Santa Maria Maior,5,5.0,8,4.0,219.0,,38.711733,-9.132281,2017-01-21 10:38:22.131800
12939671,71074248,Entire home/apt,,Arroios,1,0.0,8,3.0,242.0,,38.733037,-9.142022,2017-01-21 10:38:20.600025
3368932,7247574,Entire home/apt,,Misericórdia,11,4.5,8,5.0,209.0,,38.711516,-9.144051,2017-01-21 10:38:20.596031
159761,184400,Entire home/apt,,Misericórdia,8,4.0,11,5.0,275.0,,38.710711,-9.14486,2017-01-21 10:38:20.587735
4677702,2563358,Entire home/apt,,Misericórdia,0,0.0,4,1.0,264.0,,38.715109,-9.145604,2017-01-21 10:38:20.579227
14022365,2372087,Entire home/apt,,Arroios,1,0.0,10,5.0,219.0,,38.725637,-9.135381,2017-01-21 10:38:18.048982
1407232,2174752,Entire home/apt,,Santa Maria Maior,13,4.5,8,3.0,219.0,,38.710475,-9.139739,2017-01-21 10:38:18.045400
15495298,79130828,Entire home/apt,,Santo António,0,0.0,7,2.0,229.0,,38.720192,-9.148661,2017-01-21 10:38:18.040292
1501317,671930,Entire home/apt,,Olivais,0,0.0,4,1.0,209.0,,38.762804,-9.10456,2017-01-21 10:38:18.034007
8737508,17163789,Entire home/apt,,Misericórdia,15,4.5,6,3.0,219.0,,38.709849,-9.146498,2017-01-21 10:38:18.030312
15653638,80745409,Entire home/apt,,Areeiro,1,0.0,12,6.0,214.0,,38.738343,-9.135309,2017-01-21 10:38:18.023622
14643534,64721218,Entire home/apt,,Santo António,2,0.0,8,3.0,275.0,,38.718211,-9.15417,2017-01-21 10:38:16.446135
287874,1496930,Entire home/apt,,Misericórdia,45,4.5,10,5.0,242.0,,38.71183,-9.147365,2017-01-21 10:38:16.440105
13164265,31450915,Entire home/apt,,Campo de Ourique,0,0.0,4,2.0,264.0,,38.72255,-9.157843,2017-01-21 10:38:16.432838
2122976,2681397,Entire home/apt,,Misericórdia,100,4.5,16,5.0,306.0,,38.71131,-9.144167,2017-01-21 10:38:15.049420
12758124,2681397,Entire home/apt,,Santa Maria Maior,19,4.5,16,4.0,231.0,,38.710476,-9.137403,2017-01-21 10:38:15.045089
593624,2372087,Entire home/apt,,Arroios,12,4.5,16,5.0,219.0,,38.728639,-9.134788,2017-01-21 10:38:15.026158
1056544,2681397,Entire home/apt,,Misericórdia,119,4.5,16,7.0,308.0,,38.714903,-9.149379,2017-01-21 10:38:15.009821
6655259,34827624,Entire home/apt,,São Vicente,4,5.0,8,4.0,219.0,,38.71798,-9.132599,2017-01-21 10:38:14.998674
3032091,15443645,Entire home/apt,,Penha de França,0,0.0,6,4.0,275.0,,38.734633,-9.127676,2017-01-21 10:38:13.749589
4873600,22007957,Entire home/apt,,Misericórdia,6,4.0,10,6.0,275.0,,38.706919,-9.143306,2017-01-21 10:38:12.242228
5728669,20321071,Entire home/apt,,Misericórdia,81,4.5,10,3.0,219.0,,38.708956,-9.14394,2017-01-21 10:38:10.871657
4743089,2803281,Entire home/apt,,Arroios,34,4.5,16,10.0,269.0,,38.736019,-9.132432,2017-01-21 10:38:10.863993
16371574,1029524,Entire home/apt,,Misericórdia,0,0.0,15,5.0,226.0,,38.711075,-9.145759,2017-01-21 10:38:10.849819
11502189,17784132,Entire home/apt,,Arroios,0,0.0,10,5.0,193.0,,38.73065,-9.140357,2017-01-21 10:38:08.357568
7926282,29804395,Entire home/apt,,Estrela,18,5.0,6,3.0,198.0,,38.7132,-9.155391,2017-01-21 10:38:04.119245
773865,1029524,Entire home/apt,,Santo António,21,4.5,16,6.0,198.0,,38.716793,-9.146153,2017-01-21 10:38:04.112617
